keyword,file,line_start,line_end,snippet
ENAMED,CLAUDE.md,34,34,"- `ENAMEDArea`: 5 medical specialties (clinica_medica, cirurgia, ginecologia_obstetricia, pediatria, saude_coletiva)"
IRT,CLAUDE.md,36,36,- `calculators/tri.ts` (322 lines) — **TRI/IRT Scoring**:
SM-2,CLAUDE.md,44,44,- `calculators/sm2.ts` (269 lines) — **SM-2 Spaced Repetition**:
IRT,CLAUDE.md,52,52,"- To add new IRT models, implement new estimation functions alongside `estimateThetaEAP()`"
SM-2,CLAUDE.md,53,53,"- To modify SM-2 intervals, adjust `INITIAL_INTERVALS` constants"
ENAMED,CLAUDE.md,58,58,**Purpose**: ENAMED exam prep UI.
ENAMED,CLAUDE.md,63,63,- Tailwind CSS with custom ENAMED color palette (primary + accent)
IRT,CLAUDE.md,85,85,"- `questions` — IRT parameters (difficulty, discrimination, guessing), ontology, references"
SM-2,CLAUDE.md,87,87,- `flashcards` & `flashcard_reviews` — Flashcards with SM-2 state per user
IRT,CLAUDE.md,103,103,### TRI Scoring (IRT 3PL Model)
ENAMED,CLAUDE.md,105,105,**Context**: ENAMED uses Item Response Theory for adaptive testing. Each question has:
SM-2,CLAUDE.md,117,117,### SM-2 Spaced Repetition
ENAMED,CLAUDE.md,125,125,## Domain Context: ENAMED
ENAMED,CLAUDE.md,127,127,**ENAMED** = Exame Nacional de Avaliação da Formação Médica (Brazilian medical licensing exam).
ENAMED,CLAUDE.md,159,159,"import { calculateTRIScore, ENAMEDQuestion } from '@darwin-education/shared';"
SM-2,CLAUDE.md,162,162,"4. Use domain calculators (TRI, SM-2) to score/schedule"
SM-2,CLAUDE.md,164,164,### Extending the SM-2 Algorithm
ENAMED,CLAUDE.md,175,175,1. Extend `ENAMEDQuestion` in `packages/shared/src/types/education.ts`
IRT,CLAUDE.md,177,177,3. Add new IRT model if needed in `packages/shared/src/calculators/tri.ts`
SM-2,CLAUDE.md,191,191,- **SM-2 Scheduling**: O(k log k) where k = due cards (sorting by days overdue)
DDL,CLAUDE_CODE_GUIDE.md,1,1,# DDL — Diagnóstico Diferencial de Lacunas
ENAMED,CLAUDE_CODE_GUIDE.md,3,3,### DARWIN/ENAMED Platform | Claude Code + Opus 4.5
DDL,CLAUDE_CODE_GUIDE.md,14,14,Este documento especifica o procedimento completo para implementação do sistema DDL (Diagnóstico Diferencial de Lacunas de Aprendizagem) na plataforma ENAMED. O sistema classifica respostas dissertativas curtas em três tipos de lacunas:
ENAMED,CLAUDE_CODE_GUIDE.md,14,14,Este documento especifica o procedimento completo para implementação do sistema DDL (Diagnóstico Diferencial de Lacunas de Aprendizagem) na plataforma ENAMED. O sistema classifica respostas dissertativas curtas em três tipos de lacunas:
DDL,CLAUDE_CODE_GUIDE.md,35,35,# Criar diretório para migrations DDL
DDL,CLAUDE_CODE_GUIDE.md,39,39,### 1.2 Migration: Tabelas Core DDL
DDL,CLAUDE_CODE_GUIDE.md,45,45,-- DDL SYSTEM - CORE TABLES
IRT,CLAUDE_CODE_GUIDE.md,81,81,-- Parâmetros IRT (se disponíveis)
DDL,CLAUDE_CODE_GUIDE.md,612,612,### 2.1 System Prompt para Análise Semântica DDL
DDL,CLAUDE_CODE_GUIDE.md,618,618,// DDL SEMANTIC ANALYSIS - CLAUDE PROMPT ENGINEERING
DDL,CLAUDE_CODE_GUIDE.md,621,621,export const DDL_SEMANTIC_ANALYSIS_SYSTEM_PROMPT = `You are an expert educational assessment system specialized in analyzing short-answer responses in medical education. Your task is to perform semantic analysis for the DDL (Differential Diagnosis of Learning Gaps) system.
guideline,CLAUDE_CODE_GUIDE.md,732,732,## IMPORTANT GUIDELINES
DDL,CLAUDE_CODE_GUIDE.md,740,740,export const DDL_SEMANTIC_ANALYSIS_USER_PROMPT_TEMPLATE = `
DDL,CLAUDE_CODE_GUIDE.md,762,762,"Analyze this response according to the DDL semantic analysis protocol. Return ONLY the JSON object, no additional text.`;"
DDL,CLAUDE_CODE_GUIDE.md,771,771,// DDL CLASSIFICATION - FUSION LAYER PROMPT
DDL,CLAUDE_CODE_GUIDE.md,774,774,export const DDL_CLASSIFICATION_SYSTEM_PROMPT = `You are the classification layer of the DDL (Differential Diagnosis of Learning Gaps) system. You receive semantic analysis and behavioral analysis data and must determine the most likely type of learning gap.
DDL,CLAUDE_CODE_GUIDE.md,911,911,export const DDL_CLASSIFICATION_USER_PROMPT_TEMPLATE = `
DDL,CLAUDE_CODE_GUIDE.md,937,937,// DDL FEEDBACK GENERATION PROMPT
DDL,CLAUDE_CODE_GUIDE.md,940,940,"export const DDL_FEEDBACK_SYSTEM_PROMPT = `You are a compassionate and effective educational feedback generator for the DDL system. Your role is to provide personalized, actionable feedback based on the diagnosed learning gap type."
DDL,CLAUDE_CODE_GUIDE.md,1036,1036,export const DDL_FEEDBACK_USER_PROMPT_TEMPLATE = `
DDL,CLAUDE_CODE_GUIDE.md,1068,1068,### 3.1 DDL Service Principal
DDL,CLAUDE_CODE_GUIDE.md,1074,1074,// DDL SERVICE - MAIN ORCHESTRATOR
DDL,CLAUDE_CODE_GUIDE.md,1080,1080,"DDL_SEMANTIC_ANALYSIS_SYSTEM_PROMPT,"
DDL,CLAUDE_CODE_GUIDE.md,1081,1081,"DDL_SEMANTIC_ANALYSIS_USER_PROMPT_TEMPLATE,"
DDL,CLAUDE_CODE_GUIDE.md,1084,1084,"DDL_CLASSIFICATION_SYSTEM_PROMPT,"
DDL,CLAUDE_CODE_GUIDE.md,1085,1085,"DDL_CLASSIFICATION_USER_PROMPT_TEMPLATE,"
DDL,CLAUDE_CODE_GUIDE.md,1088,1088,"DDL_FEEDBACK_SYSTEM_PROMPT,"
DDL,CLAUDE_CODE_GUIDE.md,1089,1089,"DDL_FEEDBACK_USER_PROMPT_TEMPLATE,"
DDL,CLAUDE_CODE_GUIDE.md,1093,1093,interface DDLQuestion {
DDL,CLAUDE_CODE_GUIDE.md,1150,1150,interface DDLResponse {
DDL,CLAUDE_CODE_GUIDE.md,1219,1219,// DDL SERVICE CLASS
DDL,CLAUDE_CODE_GUIDE.md,1222,1222,export class DDLService {
DDL,CLAUDE_CODE_GUIDE.md,1308,1308,"response: DDLResponse,"
DDL,CLAUDE_CODE_GUIDE.md,1309,1309,question: DDLQuestion
DDL,CLAUDE_CODE_GUIDE.md,1312,1312,"DDL_SEMANTIC_ANALYSIS_USER_PROMPT_TEMPLATE,"
DDL,CLAUDE_CODE_GUIDE.md,1329,1329,"system: DDL_SEMANTIC_ANALYSIS_SYSTEM_PROMPT,"
DDL,CLAUDE_CODE_GUIDE.md,1501,1501,"question: DDLQuestion,"
DDL,CLAUDE_CODE_GUIDE.md,1505,1505,"DDL_CLASSIFICATION_USER_PROMPT_TEMPLATE,"
DDL,CLAUDE_CODE_GUIDE.md,1521,1521,"system: DDL_CLASSIFICATION_SYSTEM_PROMPT,"
DDL,CLAUDE_CODE_GUIDE.md,1555,1555,"response: DDLResponse,"
DDL,CLAUDE_CODE_GUIDE.md,1556,1556,"question: DDLQuestion,"
DDL,CLAUDE_CODE_GUIDE.md,1561,1561,"DDL_FEEDBACK_USER_PROMPT_TEMPLATE,"
DDL,CLAUDE_CODE_GUIDE.md,1581,1581,"system: DDL_FEEDBACK_SYSTEM_PROMPT,"
DDL,CLAUDE_CODE_GUIDE.md,1639,1639,response: DDLResponse;
DDL,CLAUDE_CODE_GUIDE.md,1640,1640,question: DDLQuestion;
DDL,CLAUDE_CODE_GUIDE.md,1817,1817,export const ddlService = new DDLService();
DDL,CLAUDE_CODE_GUIDE.md,1826,1826,// DDL ANALYSIS API ROUTE
DDL,CLAUDE_CODE_GUIDE.md,1857,1857,// Run DDL analysis pipeline
DDL,CLAUDE_CODE_GUIDE.md,1877,1877,"console.error('DDL Analysis Error:', error);"
DDL,CLAUDE_CODE_GUIDE.md,2094,2094,### 4.2 DDL Question Component
DDL,CLAUDE_CODE_GUIDE.md,2096,2096,Criar arquivo `src/components/ddl/DDLQuestion.tsx`:
DDL,CLAUDE_CODE_GUIDE.md,2102,2102,// DDL QUESTION COMPONENT
DDL,CLAUDE_CODE_GUIDE.md,2108,2108,interface DDLQuestionProps {
DDL,CLAUDE_CODE_GUIDE.md,2119,2119,export function DDLQuestion({
DDL,CLAUDE_CODE_GUIDE.md,2125,2125,}: DDLQuestionProps) {
DDL,CLAUDE_CODE_GUIDE.md,2232,2232,Criar arquivo `src/components/ddl/DDLFeedback.tsx`:
DDL,CLAUDE_CODE_GUIDE.md,2238,2238,// DDL FEEDBACK DISPLAY COMPONENT
DDL,CLAUDE_CODE_GUIDE.md,2269,2269,interface DDLFeedbackProps {
DDL,CLAUDE_CODE_GUIDE.md,2296,2296,"export function DDLFeedback({ feedbackId, classification }: DDLFeedbackProps) {"
DDL,CLAUDE_CODE_GUIDE.md,2511,2511,-- DDL PILOT QUESTIONS - MEDICAL EDUCATION
DDL,CLAUDE_CODE_GUIDE.md,2529,2529,"'DDL-FARM-001',"
DDL,CLAUDE_CODE_GUIDE.md,2556,2556,"'DDL-FISIO-001',"
DDL,CLAUDE_CODE_GUIDE.md,2584,2584,"'DDL-CLIN-001',"
DDL,CLAUDE_CODE_GUIDE.md,2610,2610,"'DDL-PAT-001',"
DDL,CLAUDE_CODE_GUIDE.md,2637,2637,"'DDL-NEURO-001',"
DDL,CLAUDE_CODE_GUIDE.md,2670,2670,# DDL SYSTEM SETUP SCRIPT
DDL,CLAUDE_CODE_GUIDE.md,2674,2674,"echo ""🚀 Iniciando setup do sistema DDL..."""
DDL,CLAUDE_CODE_GUIDE.md,2711,2711,"echo ""🎯 Sistema DDL pronto para implementação!"""
DDL,CLAUDE_CODE_GUIDE.md,2719,2719,# DDL System
DDL,CLAUDE_CODE_GUIDE.md,2731,2731,## DDL Implementation Checklist
DDL,CLAUDE_CODE_GUIDE.md,2741,2741,- [ ] DDL Service instancia corretamente
guideline,CONTRIBUTING.md,3,3,Thank you for your interest in contributing to Darwin Education! This document provides guidelines and instructions for contributing to the project.
guideline,CONTRIBUTING.md,78,78,**Code Style Guidelines:**
safety,CONTRIBUTING.md,79,79,- Use TypeScript for type safety
SM-2,CONTRIBUTING.md,98,98,"│   ├── calculators/  # TRI, SM-2 algorithms"
Grok,CONTRIBUTING.md,145,145,feat(ai): implement Grok 4.1-fast integration for question generation
Grok,CONTRIBUTING.md,147,147,- Add minimaxChatViaGrok function
guideline,CONTRIBUTING.md,194,194,- [ ] Code follows style guidelines
Grok,CONTRIBUTING.md,205,205,"- **AI Enhancement**: Improve Grok integration, add new LLM providers"
SM-2,CONTRIBUTING.md,206,206,"- **Learning Algorithms**: Extend SM-2, implement new spaced repetition variants"
guideline,CONTRIBUTING.md,242,242,## Testing Guidelines
guideline,CONTRIBUTING.md,359,359,## Security Guidelines
FSRS,DEPLOYMENT_CHECKLIST.md,1,1,# 🚀 Deployment Checklist: FSRS-6 & CAT
FSRS,DEPLOYMENT_CHECKLIST.md,17,17,## 📦 Fase 1: FSRS-6 Deployment (P0 - 4-8 semanas)
FSRS,DEPLOYMENT_CHECKLIST.md,43,43,- [ ] Criar `POST /api/flashcards/review` (FSRS scheduling)
FSRS,DEPLOYMENT_CHECKLIST.md,65,65,- [ ] Adicionar toggle SM-2 vs FSRS em `/app/configuracoes`
SM-2,DEPLOYMENT_CHECKLIST.md,65,65,- [ ] Adicionar toggle SM-2 vs FSRS em `/app/configuracoes`
SM-2,DEPLOYMENT_CHECKLIST.md,70,70,"{ value: 'sm2', label: 'SM-2 (Clássico)' },"
FSRS,DEPLOYMENT_CHECKLIST.md,71,71,"{ value: 'fsrs', label: 'FSRS-6 (Recomendado)', badge: 'NOVO' }"
FSRS,DEPLOYMENT_CHECKLIST.md,76,76,"- [ ] Adicionar modal explicativo ""O que é FSRS?"""
FSRS,DEPLOYMENT_CHECKLIST.md,77,77,"- [ ] Adicionar botão ""Migrar meus cartões para FSRS"""
FSRS,DEPLOYMENT_CHECKLIST.md,78,78,- [ ] Mostrar estatísticas comparativas (SM-2 vs FSRS)
SM-2,DEPLOYMENT_CHECKLIST.md,78,78,- [ ] Mostrar estatísticas comparativas (SM-2 vs FSRS)
FSRS,DEPLOYMENT_CHECKLIST.md,93,93,"- [ ] Adicionar widget ""Algoritmo em uso"" (SM-2 ou FSRS)"
SM-2,DEPLOYMENT_CHECKLIST.md,93,93,"- [ ] Adicionar widget ""Algoritmo em uso"" (SM-2 ou FSRS)"
FSRS,DEPLOYMENT_CHECKLIST.md,94,94,"- [ ] Comparar eficiência: ""Você está revisando 25% menos com FSRS"""
FSRS,DEPLOYMENT_CHECKLIST.md,103,103,"- [ ] Criar variante ""control"" (SM-2) e ""treatment"" (FSRS)"
SM-2,DEPLOYMENT_CHECKLIST.md,103,103,"- [ ] Criar variante ""control"" (SM-2) e ""treatment"" (FSRS)"
FSRS,DEPLOYMENT_CHECKLIST.md,134,134,- [ ] Enviar email explicativo sobre FSRS
FSRS,DEPLOYMENT_CHECKLIST.md,139,139,- [ ] Testar migração SM-2 → FSRS (10 usuários reais)
SM-2,DEPLOYMENT_CHECKLIST.md,139,139,- [ ] Testar migração SM-2 → FSRS (10 usuários reais)
FSRS,DEPLOYMENT_CHECKLIST.md,154,154,- [ ] Ajustar parâmetros se necessário (weights FSRS)
FSRS,DEPLOYMENT_CHECKLIST.md,158,158,- [ ] 10% usuários → FSRS (monitorar 2 dias)
FSRS,DEPLOYMENT_CHECKLIST.md,159,159,- [ ] 25% usuários → FSRS (monitorar 2 dias)
FSRS,DEPLOYMENT_CHECKLIST.md,160,160,- [ ] 50% usuários → FSRS (monitorar 3 dias)
FSRS,DEPLOYMENT_CHECKLIST.md,161,161,- [ ] 100% usuários → FSRS (se métricas positivas)
FSRS,DEPLOYMENT_CHECKLIST.md,164,164,"- [ ] Publicar blog post: ""Apresentando FSRS-6"""
FSRS,DEPLOYMENT_CHECKLIST.md,166,166,- [ ] Update FAQ com perguntas sobre FSRS
IRT,DEPLOYMENT_CHECKLIST.md,289,289,## 📦 Fase 3: IRT Calibration Pipeline (P2 - 8-16 semanas)
FSRS,DEPLOYMENT_CHECKLIST.md,386,386,### FSRS Adoption
FSRS,DEPLOYMENT_CHECKLIST.md,387,387,- [ ] ≥ 60% active users migrated to FSRS (3 meses)
SM-2,DEPLOYMENT_CHECKLIST.md,388,388,- [ ] Review volume -20% vs SM-2 baseline
SM-2,DEPLOYMENT_CHECKLIST.md,390,390,- [ ] < 5% revert back to SM-2
FSRS,DEPLOYMENT_CHECKLIST.md,409,409,### Risco 1: FSRS intervals muito longos
FSRS,DEPLOYMENT_CHECKLIST.md,455,455,- [ ] Aprovado para Fase 1 (FSRS)
Grok,DEPLOYMENT_STATUS.md,22,22,| Grok API Integration | ✅ Working |
Grok,DEPLOYMENT_STATUS.md,70,70,### 4. **Grok API Integration** (IMPLEMENTED)
Grok,DEPLOYMENT_STATUS.md,73,73,async function minimaxChatViaGrok(
verification,DEPLOYMENT_STATUS.md,98,98,## ✅ Verification Tests Passed
Grok,DEPLOYMENT_STATUS.md,100,100,### Test 1: Grok API Connectivity
ENAMED,DEPLOYMENT_STATUS.md,141,141,| `/api/ai/generate-question` | POST | Generate ENAMED questions | ✅ Live |
DDL,DEPLOYMENT_STATUS.md,146,146,| `/api/ddl/questions` | GET | DDL questions | ✅ Live |
DDL,DEPLOYMENT_STATUS.md,147,147,| `/api/ddl/responses` | POST | DDL responses | ✅ Live |
ENAMED,DEPLOYMENT_STATUS.md,154,154,- ✅ Question Bank (100+ ENAMED questions)
SM-2,DEPLOYMENT_STATUS.md,156,156,- ✅ Flashcards (SM-2 spaced repetition)
DDL,DEPLOYMENT_STATUS.md,160,160,- ✅ DDL System (learning gap detection)
Grok,DEPLOYMENT_STATUS.md,163,163,- ✅ Question Generation (via Grok 4.1-fast)
Grok,DEPLOYMENT_STATUS.md,188,188,### API Response Times (Grok)
Grok,DEPLOYMENT_STATUS.md,223,223,- Grok API client
Grok,DEPLOYMENT_STATUS.md,234,234,- ✅ `apps/web/lib/ai/minimax.ts` (Grok wrapper)
Grok,DEPLOYMENT_STATUS.md,246,246,2. ✅ Verify Grok API responses in production
ENAMED,DEPLOYMENT_STATUS.md,258,258,2. Generate 20-50 pilot topics across ENAMED areas
Grok,DEPLOYMENT_STATUS.md,277,277,"- Grok API: Async by design, caching reduces repeat calls"
ENAMED,DEPLOYMENT_STATUS.md,286,286,- ✅ Full ENAMED exam simulation suite
Grok,DEPLOYMENT_STATUS.md,287,287,- ✅ AI-powered question generation (Grok 4.1-fast)
DDL,DEPLOYMENT_STATUS.md,290,290,- ✅ DDL gap detection system
ENAMED,DESEMPENHO_COMPLETION_SUMMARY.md,141,141,"const areaRecommendations: Record<ENAMEDArea, string> = {"
safety,DESEMPENHO_COMPLETION_SUMMARY.md,451,451,✅ **Type Safety**
ENAMED,DESEMPENHO_FEATURES_SUMMARY.md,270,270,"const [areaPerformance, setAreaPerformance] = useState<Record<ENAMEDArea, number>>({})"
ENAMED,DESEMPENHO_FEATURES_SUMMARY.md,292,292,"area_breakdown: Record<ENAMEDArea, { correct: number; total: number }>"
ENAMED,DESEMPENHO_IMPLEMENTATION_NOTES.md,38,38,"areaPerformance: Record<ENAMEDArea, number>        // Performance by area (%)"
ENAMED,DESEMPENHO_IMPLEMENTATION_NOTES.md,96,96,"const areaStats: Record<ENAMEDArea, { correct: number; total: number }> = {}"
ENAMED,DESEMPENHO_IMPLEMENTATION_NOTES.md,267,267,"const areaColors: Record<ENAMEDArea, string> = {"
ENAMED,DESEMPENHO_IMPLEMENTATION_NOTES.md,293,293,"area_breakdown: Record<ENAMEDArea, { correct: number; total: number }>"
ENAMED,DESEMPENHO_IMPLEMENTATION_NOTES.md,317,317,type ENAMEDArea =
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,1,1,# ENAMED 2025 ETL Pipeline - Implementation Summary
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,11,11,"A complete, production-ready ETL (Extract-Transform-Load) pipeline has been implemented to import ENAMED 2025 official microdata into Darwin Education. The system successfully processes IRT (Item Response Theory) parameters from microdata and generates Supabase-compatible SQL for immediate database seeding."
IRT,ETL_IMPLEMENTATION_SUMMARY.md,11,11,"A complete, production-ready ETL (Extract-Transform-Load) pipeline has been implemented to import ENAMED 2025 official microdata into Darwin Education. The system successfully processes IRT (Item Response Theory) parameters from microdata and generates Supabase-compatible SQL for immediate database seeding."
microdata,ETL_IMPLEMENTATION_SUMMARY.md,11,11,"A complete, production-ready ETL (Extract-Transform-Load) pipeline has been implemented to import ENAMED 2025 official microdata into Darwin Education. The system successfully processes IRT (Item Response Theory) parameters from microdata and generates Supabase-compatible SQL for immediate database seeding."
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,13,13,**Key Achievement:** 90 ENAMED 2025 exam questions with full IRT calibration ready for import.
IRT,ETL_IMPLEMENTATION_SUMMARY.md,13,13,**Key Achievement:** 90 ENAMED 2025 exam questions with full IRT calibration ready for import.
IRT,ETL_IMPLEMENTATION_SUMMARY.md,17,17,## ✅ Phase 1: Complete (IRT Parameters)
verification,ETL_IMPLEMENTATION_SUMMARY.md,38,38,#### 3. **Test & Verification Scripts**
IRT,ETL_IMPLEMENTATION_SUMMARY.md,39,39,- `test-parse.mjs` - Verify IRT parameter parsing
microdata,ETL_IMPLEMENTATION_SUMMARY.md,40,40,- `generate-sql.mjs` - Generate SQL from microdata
IRT,ETL_IMPLEMENTATION_SUMMARY.md,52,52,### IRT Parameters Extracted
IRT,ETL_IMPLEMENTATION_SUMMARY.md,87,87,│   ├── item-parameters.ts    # IRT parameter parsing
IRT,ETL_IMPLEMENTATION_SUMMARY.md,118,118,2. **IRT Parameter Estimation**
IRT,ETL_IMPLEMENTATION_SUMMARY.md,126,126,- Graceful degradation to IRT-only mode
IRT,ETL_IMPLEMENTATION_SUMMARY.md,132,132,### IRT Model: 3-Parameter Logistic (3PL)
microdata,ETL_IMPLEMENTATION_SUMMARY.md,155,155,├── irt_difficulty: PARAMETRO_B from microdata
IRT,ETL_IMPLEMENTATION_SUMMARY.md,193,193,-- Check IRT parameters
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,248,248,1. ENAMED 2025 materials not yet published on INEP portal
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,268,268,1. Visit https://www.gov.br/inep/ and locate ENAMED 2025 materials
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,288,288,- ENAMED materials typically published within 1-2 months of exam date
IRT,ETL_IMPLEMENTATION_SUMMARY.md,323,323,### ✅ Automatic IRT Parameter Processing
microdata,ETL_IMPLEMENTATION_SUMMARY.md,324,324,- Extracts difficulty (b) from microdata
IRT,ETL_IMPLEMENTATION_SUMMARY.md,343,343,- Graceful degradation (IRT-only mode)
IRT,ETL_IMPLEMENTATION_SUMMARY.md,358,358,2. ✅ Verify 90 questions in database with IRT parameters
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,359,359,3. ✅ Test Darwin TRI calculator against official ENAMED scores
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,362,362,1. Download ENAMED 2025 exam PDFs from INEP
IRT,ETL_IMPLEMENTATION_SUMMARY.md,379,379,- ✅ IRT parameters within expected ranges
safety,ETL_IMPLEMENTATION_SUMMARY.md,385,385,- ✅ Full TypeScript type safety
IRT,ETL_IMPLEMENTATION_SUMMARY.md,407,407,### IRT Parameter Estimation
IRT,ETL_IMPLEMENTATION_SUMMARY.md,426,426,Phase 1: IRT parameters ✅
IRT,ETL_IMPLEMENTATION_SUMMARY.md,443,443,- Ensure `calculateTRIScore()` from `@darwin-education/shared` accepts IRT parameters
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,445,445,- Validate against official ENAMED scores (Phase 5)
IRT,ETL_IMPLEMENTATION_SUMMARY.md,462,462,"**Issue:** ""Missing IRT parameters in database"""
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,477,477,| Extract 90 ENAMED questions | ✅ Complete |
IRT,ETL_IMPLEMENTATION_SUMMARY.md,478,478,"| IRT parameters (b, a, c) | ✅ Complete |"
ENAMED,ETL_IMPLEMENTATION_SUMMARY.md,490,490,"**Phase 1 of the ENAMED 2025 ETL pipeline is 100% complete and production-ready.** The system successfully extracts, transforms, and loads IRT parameters for 90 official exam questions into Darwin Education."
IRT,ETL_IMPLEMENTATION_SUMMARY.md,490,490,"**Phase 1 of the ENAMED 2025 ETL pipeline is 100% complete and production-ready.** The system successfully extracts, transforms, and loads IRT parameters for 90 official exam questions into Darwin Education."
DIF,FILES_MODIFIED_AND_CREATED.txt,10,10,MODIFIED FILES (5)
DIF,FILES_MODIFIED_AND_CREATED.txt,145,145,13. /home/demetrios/Darwin-education/FILES_MODIFIED_AND_CREATED.txt
DIF,FILES_MODIFIED_AND_CREATED.txt,155,155,│   ├── page.tsx (MODIFIED)
DIF,FILES_MODIFIED_AND_CREATED.txt,158,158,│   │   ├── ScoreHistory.tsx (MODIFIED)
DIF,FILES_MODIFIED_AND_CREATED.txt,159,159,│   │   ├── AreaRadar.tsx (MODIFIED)
DIF,FILES_MODIFIED_AND_CREATED.txt,160,160,│   │   ├── PassPrediction.tsx (MODIFIED)
DIF,FILES_MODIFIED_AND_CREATED.txt,161,161,│   │   ├── WeakAreas.tsx (MODIFIED)
DIF,FILES_MODIFIED_AND_CREATED.txt,169,169,└── FILES_MODIFIED_AND_CREATED.txt (NEW - this file)
Grok,FINAL_SUMMARY.md,20,20,- Implemented Grok 4.1-fast API integration
Grok,FINAL_SUMMARY.md,23,23,✅ **Grok API Testing**
DDL,FINAL_SUMMARY.md,63,63,│  ├── DDL System: /api/ddl/* (2 endpoints)                       │
Grok,FINAL_SUMMARY.md,67,67,│  ├── LLM Services: Grok-4-fast integration                      │
SM-2,FINAL_SUMMARY.md,69,69,"│  ├── Learning Analytics: TRI scoring, SM-2 scheduling            │"
DDL,FINAL_SUMMARY.md,70,70,│  └── DDL: Learning gap detection with AI                        │
ENAMED,FINAL_SUMMARY.md,73,73,│  ├── Questions: 100+ ENAMED questions with IRT params           │
IRT,FINAL_SUMMARY.md,73,73,│  ├── Questions: 100+ ENAMED questions with IRT params           │
SM-2,FINAL_SUMMARY.md,75,75,│  ├── Flashcards: SM-2 spaced repetition state                   │
